,0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg
precision,0.8064516129032258,0.7352941176470589,1.0,0.9565217391304348,1.0,1.0,0.6857142857142857,0.9285714285714286,0.86,0.8890691479958042,0.8890691479958042
recall,1.0,1.0,0.56,0.88,1.0,0.96,0.96,0.52,0.86,0.86,0.86
f1-score,0.8928571428571428,0.8474576271186441,0.717948717948718,0.9166666666666666,1.0,0.9795918367346939,0.7999999999999999,0.6666666666666666,0.86,0.8526485822490665,0.8526485822490665
support,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.86,200.0,200.0
