,0,1,2,3,4,5,accuracy,macro avg,weighted avg
f1-score,0.7272727272727272,0.6732673267326733,0.4074074074074074,0.6333333333333333,0.9423076923076924,0.9193548387096775,0.7965517241379311,0.7171572209605852,0.7919306796199714
precision,0.8,0.5964912280701754,0.5,0.6333333333333333,0.9074074074074074,0.9827586206896551,0.7965517241379311,0.7366650982500952,0.7974083577287783
recall,0.6666666666666666,0.7727272727272727,0.34375,0.6333333333333333,0.98,0.8636363636363636,0.7965517241379311,0.7100189393939393,0.7965517241379311
support,18.0,44.0,32.0,30.0,100.0,66.0,0.7965517241379311,290.0,290.0
