,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,6,2,0,0,1,0,0
actual: pickup,0,11,4,4,3,0,0
actual: sit,1,1,10,2,2,0,0
actual: stand,0,3,5,7,0,0,0
actual: standff,1,0,0,0,5,1,1
actual: walk,1,0,0,0,1,37,11
actual: waving,1,0,0,0,1,8,23
