,0,1,2,3,4,accuracy,macro avg,weighted avg
f1-score,0.6875000000000001,0.6666666666666665,0.42857142857142855,0.6229508196721313,0.99,0.7767857142857143,0.6791377829820453,0.7728176055258169
precision,0.7857142857142857,0.6,0.5,0.6129032258064516,0.99,0.7767857142857143,0.6977235023041475,0.776473008558262
recall,0.6111111111111112,0.75,0.375,0.6333333333333333,0.99,0.7767857142857143,0.671888888888889,0.7767857142857143
support,18.0,44.0,32.0,30.0,100.0,0.7767857142857143,224.0,224.0
