,0,1,2,3,4,5,accuracy,macro avg,weighted avg
f1-score,0.5,0.358974358974359,0.4000000000000001,0.4225352112676056,0.6666666666666667,0.49600000000000005,0.5137931034482759,0.4740293728181053,0.5161158441364367
precision,0.5,0.4117647058823529,0.3488372093023256,0.36585365853658536,0.6842105263157895,0.5254237288135594,0.5137931034482759,0.4726816381417687,0.5253622973995495
recall,0.5,0.3181818181818182,0.46875,0.5,0.65,0.4696969696969697,0.5137931034482759,0.48443813131313135,0.5137931034482759
support,18.0,44.0,32.0,30.0,100.0,66.0,0.5137931034482759,290.0,290.0
