,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,7,5,0,2,0,4,0
actual: pickup,3,14,5,10,4,0,8
actual: sit,1,9,5,15,2,0,0
actual: stand,1,3,6,17,1,1,1
actual: standff,1,4,0,4,4,2,1
actual: walk,2,4,1,1,6,48,38
actual: waving,4,3,0,1,5,20,33
