,accuracy,f1_weighted,f1_macro
0,0.10130718954248366,0.03522277522724941,0.051598564876825515
1,0.12091503267973856,0.058496319981600986,0.09488256281616803
2,0.12418300653594772,0.050601703078896595,0.07836609999415801
3,0.13398692810457516,0.05732231518268994,0.09624626803653137
4,0.21568627450980393,0.20002363500745016,0.18616694771750344
5,0.3137254901960784,0.3136782364052475,0.26326890307256645
6,0.3562091503267974,0.35523179552385714,0.2994695838373501
7,0.37254901960784315,0.3887530831017221,0.3322689754228697
8,0.3888888888888889,0.4092468973215469,0.36842904334130233
9,0.4019607843137255,0.4177801213813537,0.3780011935531725
10,0.3888888888888889,0.4206762412537843,0.34643272763221683
11,0.43790849673202614,0.4531714730525331,0.4017656881365504
12,0.46405228758169936,0.4721884907897932,0.42225330105699654
13,0.4411764705882353,0.45660196604182185,0.3960714043279464
14,0.46078431372549017,0.4724617293110498,0.4123147202279518
15,0.46405228758169936,0.4748063511291719,0.3987730414624088
16,0.4444444444444444,0.45273762205515616,0.38648785901951205
17,0.4673202614379085,0.4824195910780975,0.41176058438982227
18,0.45098039215686275,0.4588070957227542,0.3924073595857333
19,0.4411764705882353,0.4475685551036982,0.3847982728865608
