,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,4,2,0,0,12,0,0
actual: pickup,4,28,6,4,2,0,0
actual: sit,5,10,6,7,4,0,0
actual: stand,3,9,4,14,0,0,0
actual: standff,1,1,0,0,11,3,0
actual: walk,0,0,0,0,2,50,48
actual: waving,0,0,0,0,2,39,25
