,0,1,2,3,4,5,accuracy,macro avg,weighted avg
f1-score,0.4615384615384615,0.5789473684210527,0.3188405797101449,0.37500000000000006,0.34285714285714286,0.9543147208121826,0.6416666666666667,0.5052497122231641,0.6506310893161492
precision,0.42857142857142855,0.6875,0.2972972972972973,0.35294117647058826,0.3157894736842105,0.9690721649484536,0.6416666666666667,0.5085285901619964,0.6667745108154567
recall,0.5,0.5,0.34375,0.4,0.375,0.94,0.6416666666666667,0.5097916666666666,0.6416666666666667
support,18.0,44.0,32.0,30.0,16.0,100.0,0.6416666666666667,240.0,240.0
