,accuracy,f1_weighted,f1_macro
0,0.5882352941176471,0.5741595666758649,0.48739094531878296
1,0.6339869281045751,0.6175845793255847,0.5119810857626346
2,0.6764705882352942,0.6557122041568701,0.5582247951860543
3,0.7124183006535948,0.7017766654408831,0.6000413418635633
4,0.6895424836601307,0.6800655566535557,0.5770042113444582
5,0.7026143790849673,0.6999288759285267,0.609292526969508
6,0.6830065359477124,0.6800774754029308,0.5826729714077106
7,0.7418300653594772,0.7386428303876884,0.6449064854421752
8,0.7549019607843137,0.7487186411410163,0.6503494923452584
9,0.7483660130718954,0.7420774661333644,0.6343317944650604
10,0.7549019607843137,0.7487508331985836,0.6656894814128782
11,0.7581699346405228,0.7486120316513624,0.6417837282025107
12,0.7418300653594772,0.7327636299847193,0.6181925837448572
13,0.7483660130718954,0.7423144205085859,0.6367040758678498
14,0.7549019607843137,0.748386103791769,0.6397570544040885
15,0.7483660130718954,0.7474010246232207,0.6481478183942359
16,0.7483660130718954,0.7450195206922227,0.6479689860988723
17,0.7549019607843137,0.7497883756533625,0.6319595523555871
18,0.7549019607843137,0.7491073445838095,0.6380671429155624
19,0.7483660130718954,0.7428932255152566,0.618813061159946
