,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,3,1,0,1,2,2,0
actual: pickup,1,14,4,2,1,0,0
actual: sit,0,0,11,4,0,1,0
actual: stand,0,3,5,7,0,0,0
actual: standff,2,2,0,0,3,1,0
actual: walk,0,0,0,0,0,43,7
actual: waving,0,0,0,0,0,5,28
