,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,2,4,0,1,2,0,0
actual: pickup,1,9,6,1,3,0,2
actual: sit,1,4,8,1,0,2,0
actual: stand,0,0,2,7,2,0,4
actual: standff,0,0,2,0,5,0,1
actual: walk,0,9,0,0,2,17,22
actual: waving,1,6,0,1,1,7,17
