,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,3,1,0,0,0,0,1
actual: pickup,1,14,3,3,1,0,1
actual: sit,1,1,4,3,0,0,0
actual: stand,0,3,5,4,0,0,0
actual: standff,0,1,1,0,1,1,0
actual: walk,4,1,0,0,0,42,14
actual: waving,1,1,0,0,1,7,19
