,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.23880597014925373,0.3380281690140845,0.3235294117647059,0.1951219512195122,0.16216216216216217,0.380952380952381,0.4444444444444444,0.3300653594771242,0.297577784243792,0.34444938769780475
precision,0.16326530612244897,0.4444444444444444,0.3055555555555556,0.36363636363636365,0.10344827586206896,0.5957446808510638,0.41025641025641024,0.3300653594771242,0.3409072909611936,0.4296985729687937
recall,0.4444444444444444,0.2727272727272727,0.34375,0.13333333333333333,0.375,0.28,0.48484848484848486,0.3300653594771242,0.33344336219336224,0.3300653594771242
support,18.0,44.0,32.0,30.0,16.0,100.0,66.0,0.3300653594771242,306.0,306.0
