,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.28571428571428575,0.76,0.5,0.6666666666666666,0.4,0.9180327868852459,0.8064516129032258,0.7972027972027972,0.6195521931670606,0.7859836937256293
precision,0.5,0.7037037037037037,0.5714285714285714,0.6666666666666666,1.0,0.9180327868852459,0.7575757575757576,0.7972027972027972,0.7310582123228493,0.7957883866974776
recall,0.2,0.8260869565217391,0.4444444444444444,0.6666666666666666,0.25,0.9180327868852459,0.8620689655172413,0.7972027972027972,0.5953285457193339,0.7972027972027972
support,5.0,23.0,9.0,12.0,4.0,61.0,29.0,0.7972027972027972,143.0,143.0
