,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,5,1,0,1,2,0,0
actual: pickup,0,9,7,3,2,0,1
actual: sit,0,0,8,8,0,0,0
actual: stand,0,2,5,7,1,0,0
actual: standff,0,2,0,1,4,1,0
actual: walk,0,1,0,1,5,29,14
actual: waving,1,3,0,0,3,8,18
