,0,1,2,3,4,accuracy,macro avg,weighted avg
f1-score,0.48,0.48598130841121495,0.15384615384615383,0.47887323943661975,0.8058252427184467,0.6026785714285714,0.480905188882487,0.5798882854826503
precision,0.8571428571428571,0.4126984126984127,0.42857142857142855,0.4146341463414634,0.7830188679245284,0.6026785714285714,0.5792131425357381,0.6162611539476966
recall,0.3333333333333333,0.5909090909090909,0.09375,0.5666666666666667,0.83,0.6026785714285714,0.4829318181818182,0.6026785714285714
support,18.0,44.0,32.0,30.0,100.0,0.6026785714285714,224.0,224.0
