,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,7,2,0,0,0,0,0
actual: pickup,0,15,4,2,1,0,0
actual: sit,1,1,11,2,1,0,0
actual: stand,1,2,3,9,0,0,0
actual: standff,1,2,0,0,3,1,1
actual: walk,0,0,0,0,0,44,6
actual: waving,0,0,0,0,0,5,28
