,loss
0,1.612438678741455
1,1.5428094863891602
2,1.498138427734375
3,1.435044527053833
4,1.3881216049194336
5,1.3226759433746338
6,1.2620151042938232
7,1.23977792263031
8,1.155983328819275
9,1.118523359298706
10,1.0843479633331299
11,1.0459728240966797
12,0.9802412986755371
13,0.8885844349861145
14,0.9180123805999756
15,0.8273309469223022
16,0.7787854075431824
17,0.7703570127487183
18,0.707287609577179
19,0.7228059768676758
20,0.6441393494606018
21,0.6069279909133911
22,0.541341245174408
23,0.5517261028289795
24,0.5345428586006165
25,0.48872023820877075
26,0.46171724796295166
27,0.4447338283061981
28,0.4326174855232239
29,0.4636828899383545
30,0.3895566463470459
31,0.3315888047218323
32,0.3532356321811676
33,0.317417711019516
34,0.2607360780239105
35,0.2875957787036896
36,0.38175636529922485
37,0.2246209979057312
38,0.22325612604618073
39,0.2610445022583008
40,0.19676758348941803
41,0.16475129127502441
42,0.15974165499210358
43,0.18865102529525757
44,0.16292034089565277
45,0.1374841183423996
46,0.15495359897613525
47,0.13513238728046417
48,0.14317484200000763
49,0.12616944313049316
50,0.11094368994235992
51,0.12185489386320114
52,0.0892229750752449
53,0.1144389733672142
54,0.10331068187952042
55,0.10513670742511749
56,0.09684748202562332
57,0.11017313599586487
58,0.09161735326051712
59,0.0881042554974556
60,0.06474928557872772
61,0.07369323074817657
62,0.058547891676425934
63,0.06111904978752136
64,0.06152933090925217
65,0.07567700743675232
66,0.0857725441455841
67,0.060390815138816833
68,0.06280402094125748
69,0.057422153651714325
70,0.04287179931998253
71,0.051902689039707184
72,0.046493589878082275
73,0.040574606508016586
74,0.05447087809443474
75,0.04897598922252655
76,0.04610666632652283
77,0.038846906274557114
78,0.027538135647773743
79,0.03253154829144478
80,0.031567107886075974
81,0.031068183481693268
82,0.03525777906179428
83,0.03770008683204651
84,0.03775421157479286
85,0.037584442645311356
86,0.027851345017552376
87,0.0292048379778862
88,0.031163807958364487
89,0.02587902918457985
90,0.01840508170425892
91,0.019824394956231117
92,0.03064802847802639
93,0.021352548152208328
94,0.02028573676943779
95,0.021876154467463493
96,0.022192558273673058
97,0.022353697568178177
98,0.019193707033991814
99,0.024880431592464447
100,0.01971597783267498
101,0.027293331921100616
102,0.015169183723628521
103,0.020727913826704025
104,0.017028946429491043
105,0.017813222482800484
106,0.02174622379243374
107,0.012543801218271255
108,0.01765657588839531
109,0.015328366309404373
110,0.012979332357645035
111,0.017639879137277603
112,0.010672872886061668
113,0.012844773009419441
114,0.014352061785757542
115,0.009071525186300278
116,0.012405863031744957
117,0.014596013352274895
118,0.010055906139314175
119,0.019727099686861038
120,0.014901785179972649
121,0.009659656323492527
122,0.016629619523882866
123,0.013168751262128353
124,0.014681191183626652
125,0.010554065927863121
126,0.010359948500990868
127,0.008757764473557472
128,0.012151631526648998
129,0.01100517064332962
130,0.011834479868412018
131,0.010858056135475636
132,0.011851398274302483
133,0.00897146388888359
134,0.010557997971773148
135,0.00759996147826314
136,0.016288982704281807
137,0.010278220288455486
138,0.012676382437348366
139,0.01058744452893734
140,0.011647315695881844
141,0.008680067025125027
142,0.008394868113100529
143,0.007152309641242027
144,0.00934748724102974
145,0.009274834766983986
146,0.011045515537261963
147,0.007352826185524464
148,0.008937031961977482
149,0.008334299549460411
150,0.008134441450238228
151,0.010140767320990562
152,0.010465559549629688
153,0.007868296466767788
154,0.006897990591824055
155,0.006384190637618303
156,0.006316660903394222
157,0.006294765044003725
158,0.010251728817820549
159,0.007708495482802391
160,0.004460135009139776
161,0.007388213649392128
162,0.006442544981837273
163,0.006844928488135338
164,0.007089822553098202
165,0.005799894221127033
166,0.006476478185504675
167,0.006875630933791399
168,0.007395614869892597
169,0.006380012724548578
170,0.004388181492686272
171,0.006054318975657225
172,0.006868843454867601
173,0.009642462246119976
174,0.007366538979113102
175,0.005806456319987774
176,0.006011755671352148
177,0.0052000973373651505
178,0.004176788963377476
179,0.004892952274531126
180,0.00826310645788908
181,0.006286837160587311
182,0.003105462295934558
183,0.00394049845635891
184,0.004037600941956043
185,0.003706810064613819
186,0.004716348834335804
187,0.0036690046545118093
188,0.004736165050417185
189,0.00478665204718709
190,0.004241579212248325
191,0.004389193840324879
192,0.005462162662297487
193,0.004185424651950598
194,0.004981369245797396
195,0.004944028332829475
196,0.004181095864623785
197,0.0068419682793319225
198,0.004521020222455263
199,0.005451475270092487
