,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,4,2,0,0,1,1,1
actual: pickup,1,11,5,4,0,1,0
actual: sit,0,6,7,3,0,0,0
actual: stand,0,3,3,9,0,0,0
actual: standff,2,0,1,0,4,1,0
actual: walk,0,0,0,0,0,48,2
actual: waving,0,0,0,0,0,3,30
