,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.21428571428571427,0.37894736842105264,0.25,0.3478260869565218,0.2727272727272727,0.28368794326241137,0.45744680851063835,0.34967320261437906,0.314988742023373,0.3329723193723676
precision,0.3,0.35294117647058826,0.375,0.5,0.18,0.4878048780487805,0.3524590163934426,0.34967320261437906,0.3640292958446873,0.40147776029918675
recall,0.16666666666666666,0.4090909090909091,0.1875,0.26666666666666666,0.5625,0.2,0.6515151515151515,0.34967320261437906,0.34913419913419913,0.34967320261437906
support,18.0,44.0,32.0,30.0,16.0,100.0,66.0,0.34967320261437906,306.0,306.0
