,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.5882352941176471,0.4571428571428572,0.48484848484848486,0.5925925925925926,0.5555555555555556,0.7111111111111111,0.6511627906976744,0.6143790849673203,0.5772355265808462,0.6110202434228077
precision,0.625,0.6153846153846154,0.47058823529411764,0.6666666666666666,0.5,0.8,0.5283018867924528,0.6143790849673203,0.6008487720196932,0.6413518664530613
recall,0.5555555555555556,0.36363636363636365,0.5,0.5333333333333333,0.625,0.64,0.8484848484848485,0.6143790849673203,0.5808585858585859,0.6143790849673203
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.6143790849673203,153.0,153.0
