,0,1,2,3,4,5,accuracy,macro avg,weighted avg
f1-score,0.2191780821917808,0.04166666666666667,0.18604651162790697,0.5063291139240507,0.125,0.6137566137566138,0.39166666666666666,0.2819961646945031,0.3762398415760888
precision,0.14545454545454545,0.25,0.36363636363636365,0.40816326530612246,0.09375,0.651685393258427,0.39166666666666666,0.3187815946092431,0.43403326141488263
recall,0.4444444444444444,0.022727272727272728,0.125,0.6666666666666666,0.1875,0.58,0.39166666666666666,0.33772306397306395,0.39166666666666666
support,18.0,44.0,32.0,30.0,16.0,100.0,0.39166666666666666,240.0,240.0
