,accuracy,f1_weighted,f1_macro
0,0.6363636363636364,0.5676607037514564,0.32824943628589026
1,0.6713286713286714,0.6290941930228017,0.3887632544348962
2,0.7552447552447552,0.7229543554271816,0.4912822606553866
3,0.7552447552447552,0.7282189998996219,0.48524008885850994
4,0.7762237762237763,0.7555417694109522,0.5515876777622455
5,0.7692307692307693,0.7482959348343964,0.5592490842490843
6,0.7972027972027972,0.7748812426242453,0.5360927816299321
7,0.8041958041958042,0.7880857493760719,0.5867017774851877
8,0.8041958041958042,0.7908492629390246,0.599978102661293
9,0.7902097902097902,0.7710540423582427,0.5797260038484259
10,0.8111888111888111,0.7932089578509016,0.5879195506288472
11,0.8181818181818182,0.8050287623795119,0.5954857849746953
12,0.7972027972027972,0.7799078245098878,0.5742436964960389
13,0.8251748251748252,0.8145289410149551,0.666545029045029
14,0.8461538461538461,0.8286199676030185,0.6230508474576271
15,0.8181818181818182,0.7989009560942886,0.5927918054696255
16,0.8041958041958042,0.7876975609294865,0.5982921981930943
17,0.8181818181818182,0.8015606354590702,0.5895984911941037
18,0.8251748251748252,0.8088112216407902,0.5938518680116907
19,0.8391608391608392,0.8210973222634903,0.6130359642536825
