,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,4,3,0,0,2,0,0
actual: pickup,0,16,2,1,2,0,1
actual: sit,0,2,10,3,1,0,0
actual: stand,1,5,2,7,0,0,0
actual: standff,0,1,0,0,6,1,0
actual: walk,0,0,0,0,0,47,3
actual: waving,0,0,0,0,0,4,29
