,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.0,0.38596491228070173,0.37209302325581395,0.23529411764705882,0.20408163265306123,0.20512820512820512,0.5,0.3431372549019608,0.2717945558521201,0.3030273955856803
precision,0.0,0.3142857142857143,0.2962962962962963,0.2857142857142857,0.15151515151515152,0.7058823529411765,0.4,0.3431372549019608,0.3076705429646606,0.4290652261432731
recall,0.0,0.5,0.5,0.2,0.3125,0.12,0.6666666666666666,0.3431372549019608,0.3284523809523809,0.3431372549019608
support,18.0,44.0,32.0,30.0,16.0,100.0,66.0,0.3431372549019608,306.0,306.0
