,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,1,2,0,2,2,1,1
actual: pickup,3,1,0,10,4,2,2
actual: sit,2,0,0,13,0,1,0
actual: stand,1,0,2,10,0,1,1
actual: standff,1,1,0,1,4,0,1
actual: walk,5,7,0,3,3,16,16
actual: waving,4,1,0,9,2,7,10
