,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.4,0.6222222222222223,0.3636363636363637,0.3636363636363636,0.28571428571428575,0.7567567567567568,0.5937499999999999,0.6083916083916084,0.4836737131379989,0.6186800283391193
precision,0.3,0.6363636363636364,0.3076923076923077,0.4,0.3333333333333333,0.84,0.5428571428571428,0.6083916083916084,0.4800352028923457,0.6435089851873068
recall,0.6,0.6086956521739131,0.4444444444444444,0.3333333333333333,0.25,0.6885245901639344,0.6551724137931034,0.6083916083916084,0.5114529191298184,0.6083916083916084
support,5.0,23.0,9.0,12.0,4.0,61.0,29.0,0.6083916083916084,143.0,143.0
