,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,3,1,1,0,2,1,1
actual: pickup,2,10,5,4,0,1,0
actual: sit,0,5,8,3,0,0,0
actual: stand,0,3,3,9,0,0,0
actual: standff,1,0,1,0,4,1,1
actual: walk,0,2,0,0,0,39,9
actual: waving,0,0,0,0,0,4,29
