,loss
0,2.1772780418395996
1,2.0984668731689453
2,2.100836753845215
3,2.1188759803771973
4,2.084315299987793
5,2.081465244293213
6,2.072596788406372
7,2.086197853088379
8,2.0561275482177734
9,2.048104763031006
10,1.9947564601898193
11,1.8352916240692139
12,1.755893349647522
13,1.7234652042388916
14,1.9699225425720215
15,1.726954460144043
16,1.844980239868164
17,1.7935675382614136
18,1.6334459781646729
19,1.6092884540557861
20,1.6216773986816406
21,1.6562566757202148
22,1.7771263122558594
23,1.5063400268554688
24,1.6423689126968384
25,1.5455663204193115
26,1.4413095712661743
27,1.3446464538574219
28,1.5713691711425781
29,1.522775650024414
30,1.4430452585220337
31,1.3956401348114014
32,1.1974958181381226
33,1.3620201349258423
34,1.4538836479187012
35,1.5010955333709717
36,1.4862573146820068
37,1.4964947700500488
38,1.4243299961090088
39,1.3350361585617065
40,1.307712435722351
41,1.4108259677886963
42,1.3495912551879883
43,1.3340587615966797
44,1.1445152759552002
45,1.6907213926315308
46,1.551372766494751
47,1.3929963111877441
48,1.254920244216919
49,1.379340410232544
50,1.4296125173568726
51,1.100016474723816
52,1.0057933330535889
53,1.0788501501083374
54,1.588323950767517
55,1.066575527191162
56,1.1360259056091309
57,1.061273217201233
58,0.943638026714325
59,2.658858299255371
60,2.203504800796509
61,1.6778507232666016
62,1.9086499214172363
63,1.8612852096557617
64,1.5813175439834595
65,1.5449235439300537
66,1.417275309562683
67,1.5106040239334106
68,1.4996514320373535
69,1.2539517879486084
70,1.3420169353485107
71,1.2772005796432495
72,1.3548336029052734
73,1.253031849861145
74,1.3083235025405884
75,1.1071476936340332
76,1.1275924444198608
77,1.1458981037139893
78,1.178261637687683
79,1.0558853149414062
80,0.7529787421226501
81,0.7758578062057495
82,0.9423107504844666
83,0.902037501335144
84,0.7977873086929321
85,0.7660313844680786
86,0.7663091421127319
87,0.5090380907058716
88,0.3904097080230713
89,0.7080174088478088
90,0.7300371527671814
91,1.1865205764770508
92,0.96506667137146
93,1.276937484741211
94,1.0217150449752808
95,1.0369094610214233
96,0.7663388848304749
97,0.7903105020523071
98,0.7275548577308655
99,0.627598762512207
100,0.6336994171142578
101,0.5417757630348206
102,0.5027369260787964
103,0.5441895127296448
104,0.46719545125961304
105,0.3079313039779663
106,0.5699625015258789
107,0.6127250790596008
108,0.4428807497024536
109,0.4182303547859192
110,0.3434247374534607
111,0.35476282238960266
112,0.24354366958141327
113,0.23669278621673584
114,0.3407657742500305
115,0.5120258331298828
116,0.5688215494155884
117,0.39340370893478394
118,0.35337376594543457
119,0.34925588965415955
120,0.3246299624443054
121,0.20332710444927216
122,0.23109617829322815
123,0.18649223446846008
124,0.14984822273254395
125,0.19169214367866516
126,0.4247533082962036
127,0.2040073275566101
128,0.567436933517456
129,0.289218544960022
130,0.4268113672733307
131,0.21597036719322205
132,0.27660781145095825
133,0.2168731391429901
134,0.16024869680404663
135,0.23974770307540894
136,0.17429524660110474
137,0.1442955881357193
138,0.16827769577503204
139,0.23596078157424927
140,0.5936037302017212
141,0.2311832308769226
142,0.1831180304288864
143,0.19296644628047943
144,0.18089322745800018
145,0.20628748834133148
146,0.21775604784488678
147,0.1931527704000473
148,0.1666724681854248
149,0.2010573148727417
150,0.16375580430030823
151,0.2266424149274826
152,0.7219409942626953
153,0.5001084804534912
154,0.3272043466567993
155,0.18763907253742218
156,0.22330132126808167
157,0.2611488401889801
158,0.2105107307434082
159,0.20447863638401031
160,0.1660061776638031
161,0.1753179132938385
162,0.14394158124923706
163,0.14329282939434052
164,0.13815553486347198
165,0.13958410918712616
166,0.18964169919490814
167,0.17298203706741333
168,0.21165919303894043
169,0.17292696237564087
170,0.2732352316379547
171,0.1562211662530899
172,0.14222629368305206
173,0.17667868733406067
174,0.14735542237758636
175,0.14596115052700043
176,0.15795305371284485
177,0.13741561770439148
178,0.23216262459754944
179,0.16413003206253052
180,0.14388655126094818
181,0.14234375953674316
182,0.2665555477142334
183,0.1444956213235855
184,0.13787849247455597
185,0.24873469769954681
186,0.1399124264717102
187,0.20461569726467133
188,0.1416783183813095
189,0.1604471504688263
190,0.14116144180297852
191,0.3408520817756653
192,0.2026289403438568
193,0.16227124631404877
194,0.25178053975105286
195,0.2152707278728485
196,0.2181805968284607
197,0.17380398511886597
198,0.17230400443077087
199,0.14033974707126617
