,accuracy,f1_weighted,f1_macro
0,0.477124183006536,0.47598946986201884,0.414520202020202
1,0.6078431372549019,0.6040748596567858,0.547321670586809
2,0.5751633986928104,0.5918444348111868,0.510086462881494
3,0.5882352941176471,0.5905217178623818,0.5173240984233984
4,0.6666666666666666,0.6729072545536143,0.6260120754148161
5,0.6405228758169934,0.657653007878485,0.583528351256405
6,0.673202614379085,0.6737068084439537,0.621033261916213
7,0.6405228758169934,0.6477175872621793,0.5873366160002105
8,0.6797385620915033,0.6803206965168996,0.606534364331338
9,0.673202614379085,0.6792102643495833,0.5984748571214736
10,0.6928104575163399,0.7003977720916218,0.6162844496880618
11,0.673202614379085,0.6809447512978397,0.6078579131584455
12,0.6666666666666666,0.6736023351422418,0.581891775487218
13,0.6601307189542484,0.6639635228397075,0.6058697787415361
14,0.6797385620915033,0.6802262912149982,0.6086383520640183
15,0.6862745098039216,0.6880612733476511,0.6029174287069023
16,0.6993464052287581,0.7017676593187254,0.6276702665425897
17,0.7254901960784313,0.7293966879698579,0.6745446437061636
18,0.6993464052287581,0.7062506715091749,0.6266932699897483
19,0.6928104575163399,0.700551283272185,0.6188083467906267
