,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.4,0.6666666666666666,0.6111111111111112,0.4827586206896552,0.42857142857142855,0.8431372549019608,0.823529411764706,0.7124183006535948,0.6079677848150754,0.70619430403068
precision,0.5,0.7,0.55,0.5,0.5,0.8269230769230769,0.8,0.7124183006535948,0.6252747252747252,0.7055304172951233
recall,0.3333333333333333,0.6363636363636364,0.6875,0.4666666666666667,0.375,0.86,0.8484848484848485,0.7124183006535948,0.6010497835497836,0.7124183006535948
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.7124183006535948,153.0,153.0
