,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,7,1,0,0,1,0,0
actual: pickup,0,15,1,3,3,0,0
actual: sit,2,1,8,4,1,0,0
actual: stand,0,3,5,7,0,0,0
actual: standff,2,0,0,0,4,1,1
actual: walk,0,0,0,0,0,37,13
actual: waving,0,0,0,0,2,10,21
