,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.5714285714285714,0.6530612244897959,0.6666666666666666,0.5384615384615385,0.631578947368421,0.9215686274509804,0.8787878787878788,0.7777777777777778,0.6945076363791218,0.7737572338347632
precision,0.8,0.5925925925925926,0.7142857142857143,0.6363636363636364,0.5454545454545454,0.9038461538461539,0.8787878787878788,0.7777777777777778,0.7244757887615031,0.7827908958627913
recall,0.4444444444444444,0.7272727272727273,0.625,0.4666666666666667,0.75,0.94,0.8787878787878788,0.7777777777777778,0.6903102453102453,0.7777777777777778
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.7777777777777778,153.0,153.0
