,0,1,2,3,4,5,accuracy,macro avg,weighted avg
f1-score,0.5142857142857143,0.6666666666666667,0.4482758620689655,0.6229508196721313,0.3703703703703703,0.9753694581280788,0.7375,0.5996531485319878,0.7295279171065869
precision,0.5294117647058824,0.6153846153846154,0.5,0.6129032258064516,0.45454545454545453,0.9611650485436893,0.7375,0.6122350181643489,0.7265944322621614
recall,0.5,0.7272727272727273,0.40625,0.6333333333333333,0.3125,0.99,0.7375,0.5948926767676768,0.7375
support,18.0,44.0,32.0,30.0,16.0,100.0,0.7375,240.0,240.0
