,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk
actual: lay,0,1,0,0,0,0
actual: pickup,0,1,0,0,0,0
actual: sit,0,1,0,0,0,0
actual: stand,0,1,0,0,0,0
actual: standff,0,1,0,0,0,0
actual: walk,0,1,0,0,0,0
