,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.5263157894736842,0.5909090909090909,0.5714285714285715,0.5925925925925926,0.608695652173913,0.7272727272727272,0.6753246753246752,0.6470588235294118,0.6132198713107506,0.6489379346650401
precision,0.5,0.5909090909090909,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.8421052631578947,0.5909090909090909,0.6470588235294118,0.6177033492822966,0.6765049879600963
recall,0.5555555555555556,0.5909090909090909,0.5,0.5333333333333333,0.875,0.64,0.7878787878787878,0.6470588235294118,0.6403823953823954,0.6470588235294118
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.6470588235294118,153.0,153.0
