,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.4,0.46511627906976744,0.47058823529411764,0.5806451612903225,0.5714285714285715,0.8125,0.7945205479452054,0.6666666666666666,0.5849712564325692,0.6633153854719996
precision,0.5,0.47619047619047616,0.4444444444444444,0.5625,0.6666666666666666,0.8478260869565217,0.725,0.6666666666666666,0.6032325248940155,0.6678067926043203
recall,0.3333333333333333,0.45454545454545453,0.5,0.6,0.5,0.78,0.8787878787878788,0.6666666666666666,0.5780952380952381,0.6666666666666666
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.6666666666666666,153.0,153.0
