,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,8,2,1,0,5,1,1
actual: pickup,5,22,8,2,4,1,2
actual: sit,4,10,9,6,0,3,0
actual: stand,1,10,5,14,0,0,0
actual: standff,2,1,0,0,12,0,1
actual: walk,0,0,0,0,0,97,3
actual: waving,0,0,0,0,0,9,57
