,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,5,2,1,0,1,0,0
actual: pickup,0,17,2,2,1,0,0
actual: sit,1,1,9,5,0,0,0
actual: stand,1,4,2,8,0,0,0
actual: standff,0,1,0,0,7,0,0
actual: walk,0,0,0,0,0,42,8
actual: waving,0,0,0,0,0,4,29
