,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,5,1,1,0,2,0,0
actual: pickup,4,9,4,3,1,0,1
actual: sit,1,2,12,1,0,0,0
actual: stand,0,1,1,13,0,0,0
actual: standff,4,0,1,0,3,0,0
actual: walk,3,0,0,1,2,38,6
actual: waving,0,0,0,0,1,7,25
