,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,7,0,1,0,1,0,0
actual: pickup,1,13,6,0,1,0,1
actual: sit,0,3,8,5,0,0,0
actual: stand,0,2,4,8,1,0,0
actual: standff,0,0,0,0,7,1,0
actual: walk,0,2,0,0,0,44,4
actual: waving,0,1,0,0,0,4,28
