,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.0,0.25316455696202533,0.13333333333333333,0.23529411764705882,0.10526315789473685,0.07692307692307693,0.20512820512820512,0.16993464052287582,0.14415806398406233,0.14829970738396264
precision,0.0,0.17543859649122806,0.14285714285714285,1.0,0.06666666666666667,1.0,0.17777777777777778,0.16993464052287582,0.3661057405418307,0.5068324405785706
recall,0.0,0.45454545454545453,0.125,0.13333333333333333,0.25,0.04,0.24242424242424243,0.16993464052287582,0.17790043290043292,0.16993464052287582
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.16993464052287582,153.0,153.0
