,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,3,1,1,0,4,0,0
actual: pickup,0,6,11,4,1,0,0
actual: sit,1,1,9,4,1,0,0
actual: stand,0,4,0,11,0,0,0
actual: standff,0,1,0,0,6,1,0
actual: walk,2,0,0,0,1,29,18
actual: waving,0,0,0,0,1,12,20
