,accuracy,f1_weighted,f1_macro
0,0.5416666666666666,0.5701616011363476,0.4343263942519882
1,0.65,0.6479235138008631,0.48958769404673835
2,0.6625,0.6730161967799975,0.5229729454570178
3,0.6708333333333333,0.6765171036768439,0.5306997688831308
4,0.6541666666666667,0.6678381577916191,0.5240456325825726
5,0.6541666666666667,0.6609746476792824,0.5213655071471254
6,0.6375,0.645159240811358,0.4984779791405302
7,0.6416666666666667,0.6509567979528423,0.49522913117588646
8,0.6375,0.6488090158959157,0.5081427348246934
9,0.6625,0.6681814814316633,0.5296732013674964
10,0.6166666666666667,0.6292339044188578,0.46955169900716703
11,0.6833333333333333,0.6876337731393524,0.5658674174447696
12,0.6458333333333334,0.6515596319608161,0.5131079750599564
13,0.6291666666666667,0.6403402492974237,0.47659387176884316
14,0.675,0.6841165184022326,0.5480905338048195
15,0.6208333333333333,0.6297858257007996,0.47653555875497694
16,0.6375,0.6460116680704916,0.5059456882986294
17,0.6416666666666667,0.6508247527653043,0.4991660174074279
18,0.625,0.6332184024156571,0.4766301699388186
19,0.65,0.6576759977677543,0.516401027320785
