,0,1,2,3,4,5,accuracy,macro avg,weighted avg
f1-score,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.16666666666666666,0.047619047619047616,0.047619047619047616
precision,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.027777777777777776,0.027777777777777776
recall,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
support,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0,6.0
