,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.7000000000000001,0.7142857142857143,0.5333333333333333,0.4827586206896552,0.4210526315789474,0.7551020408163266,0.6176470588235293,0.6470588235294118,0.6034541999325009,0.6489861071410997
precision,0.6363636363636364,0.75,0.5714285714285714,0.5,0.36363636363636365,0.7708333333333334,0.6,0.6470588235294118,0.5988945578231293,0.6543848852672383
recall,0.7777777777777778,0.6818181818181818,0.5,0.4666666666666667,0.5,0.74,0.6363636363636364,0.6470588235294118,0.6146608946608947,0.6470588235294118
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.6470588235294118,153.0,153.0
