,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.5714285714285714,0.4285714285714286,0.5142857142857142,0.6666666666666666,0.2,0.7474747474747474,0.6842105263157895,0.6274509803921569,0.5446625221061311,0.6166842140010353
precision,0.8,0.45,0.47368421052631576,0.6666666666666666,0.5,0.7551020408163265,0.6046511627906976,0.6274509803921569,0.6071577258285724,0.629983907067519
recall,0.4444444444444444,0.4090909090909091,0.5625,0.6666666666666666,0.125,0.74,0.7878787878787878,0.6274509803921569,0.5336544011544012,0.6274509803921569
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.6274509803921569,153.0,153.0
