,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.07692307692307691,0.05882352941176471,0.0,0.3174603174603175,0.3478260869565218,0.41025641025641024,0.3125,0.27450980392156865,0.2176842030011559,0.2637664007172808
precision,0.058823529411764705,0.08333333333333333,0.0,0.20833333333333334,0.26666666666666666,0.5714285714285714,0.3225806451612903,0.27450980392156865,0.21588086847642282,0.306128550935449
recall,0.1111111111111111,0.045454545454545456,0.0,0.6666666666666666,0.5,0.32,0.30303030303030304,0.27450980392156865,0.278037518037518,0.27450980392156865
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.27450980392156865,153.0,153.0
