,accuracy,f1_weighted,f1_macro
0,0.6958333333333333,0.6635387380829355,0.46931642209921726
1,0.7,0.6953203726097362,0.5561062025639981
2,0.7083333333333334,0.6949418057373804,0.5346446052846742
3,0.7333333333333333,0.7237334419364891,0.6067283838916061
4,0.7375,0.7264638963296287,0.6151986529686503
5,0.7041666666666667,0.69601178704629,0.5602806310388628
6,0.7125,0.7112339521798743,0.6014969926378706
7,0.7333333333333333,0.7234436181634457,0.5982563892046651
8,0.7583333333333333,0.7360822662801889,0.6229180519980407
9,0.7125,0.7010963520023393,0.5630146289284945
10,0.7125,0.7081840862531401,0.5866230399478481
11,0.7583333333333333,0.7444159795119457,0.6238918603264731
12,0.7166666666666667,0.7118135464111689,0.579344500876177
13,0.7083333333333334,0.6991313671473909,0.5554568549319373
14,0.7291666666666666,0.7196438575430172,0.5930327686630208
15,0.7291666666666666,0.7234957832371411,0.6092022455152891
16,0.7208333333333333,0.7116205037169078,0.5805073775365476
17,0.7041666666666667,0.6945265848873198,0.5548560653753593
18,0.7458333333333333,0.7406236693575272,0.6477949468664005
19,0.7125,0.7060350215870571,0.5866136462625903
