,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,6,3,0,0,0,0,0
actual: pickup,0,17,2,2,0,1,0
actual: sit,1,1,11,2,1,0,0
actual: stand,1,3,3,8,0,0,0
actual: standff,1,2,0,0,2,1,2
actual: walk,0,0,0,0,0,46,4
actual: waving,0,0,0,0,0,5,28
