,accuracy,f1_weighted,f1_macro
0,0.39215686274509803,0.3356989779324015,0.23385425137219146
1,0.5620915032679739,0.5302613053526979,0.44824093044432034
2,0.5228758169934641,0.5171445521035627,0.4546650111775193
3,0.6535947712418301,0.6454065884805922,0.5931889361382449
4,0.6339869281045751,0.6298733843541416,0.5667115789586135
5,0.6209150326797386,0.6177698558856465,0.5606614320981353
6,0.6993464052287581,0.6954467693325209,0.6544781223106076
7,0.6470588235294118,0.6445572085410339,0.6029246487745655
8,0.673202614379085,0.667910665041708,0.6065666937322485
9,0.7189542483660131,0.7200233490820639,0.6730892287319108
10,0.6797385620915033,0.669709311425154,0.5966730171641063
11,0.6797385620915033,0.6747326178140132,0.6229489010748094
12,0.6535947712418301,0.6409699112313492,0.5621809407523692
13,0.6209150326797386,0.6013234853200319,0.5649238230065109
14,0.6928104575163399,0.6848024252436018,0.6228087388801675
15,0.6993464052287581,0.6967941324342709,0.6444986114103761
16,0.6601307189542484,0.6606664300604977,0.6103709646773087
17,0.6470588235294118,0.6471126361199057,0.6066888431279701
18,0.673202614379085,0.6711440478290953,0.614738532580518
19,0.6666666666666666,0.6602768679583213,0.5691222873649516
