,predict : lay,predict : pickup,predict : sit,predict : stand,predict : standff,predict : walk,predict : waving
actual: lay,2,1,0,0,1,0,1
actual: pickup,1,17,1,3,1,0,0
actual: sit,0,1,6,2,0,0,0
actual: stand,1,4,0,7,0,0,0
actual: standff,0,1,1,0,1,0,1
actual: walk,1,3,0,0,1,25,31
actual: waving,0,5,0,0,0,10,14
