,accuracy,f1_weighted,f1_macro
0,0.5490196078431373,0.5574318161494368,0.5381605760128962
1,0.673202614379085,0.6737704048120196,0.6433215047221154
2,0.6928104575163399,0.6924836353112928,0.6611496911364227
3,0.6666666666666666,0.6656209380554566,0.6323750234738617
4,0.6405228758169934,0.6377326339142644,0.6064511094586281
5,0.6601307189542484,0.6588551780967763,0.619348432031752
6,0.7124183006535948,0.7137595132890775,0.6650656835628735
7,0.6209150326797386,0.6216811552096364,0.5784777904558894
8,0.6143790849673203,0.6153260142110585,0.55765639589169
9,0.6666666666666666,0.6646358352384157,0.6295545339414186
10,0.6405228758169934,0.6401552802006304,0.61743765188729
11,0.6339869281045751,0.6322582344287707,0.5930514162042388
12,0.6470588235294118,0.6542845831081868,0.626412168966855
13,0.6928104575163399,0.692091732221168,0.6697537332481662
14,0.6601307189542484,0.6592091193215216,0.6398005886173795
15,0.6209150326797386,0.6172116616707766,0.5807966856728467
16,0.6339869281045751,0.632253529435545,0.6278688314136296
17,0.6601307189542484,0.6620615808074268,0.6466183372346249
18,0.6666666666666666,0.6695067472316608,0.662395904307669
19,0.6470588235294118,0.6486160595952398,0.6417498196415847
