,accuracy,f1_weighted,f1_macro
0,0.3333333333333333,0.22429204323941168,0.15290347079820762
1,0.43137254901960786,0.4572538370431953,0.40967936366290914
2,0.5555555555555556,0.5713400270916925,0.5290829222909632
3,0.47058823529411764,0.48822698130394576,0.42733083761859153
4,0.5228758169934641,0.5251768346909991,0.4590676181780916
5,0.5620915032679739,0.5665456397045115,0.4982148596357238
6,0.5359477124183006,0.5319241987896722,0.47839630443208353
7,0.5882352941176471,0.5876927615284286,0.5106603379787081
8,0.5882352941176471,0.5848646049675904,0.5366612415160965
9,0.5947712418300654,0.5969893940482176,0.5647985347985349
10,0.5163398692810458,0.5156343661767421,0.4994188234068294
11,0.5359477124183006,0.5376102918292961,0.48011470562116354
12,0.5424836601307189,0.5410394512819323,0.5278952817425974
13,0.5490196078431373,0.5456406888929343,0.5289589448388874
14,0.5816993464052288,0.5855646977260616,0.553171747883779
15,0.5359477124183006,0.5326791068009206,0.4648838306488878
16,0.6143790849673203,0.6109644091974223,0.5632610475445226
17,0.5555555555555556,0.5595797284529043,0.521572397074772
18,0.5686274509803921,0.5680495836597145,0.5461027949337002
19,0.5294117647058824,0.5332554574515922,0.5056354249016681
