,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.380952380952381,0.4615384615384615,0.5128205128205128,0.5185185185185186,0.4761904761904762,0.6391752577319586,0.36734693877551017,0.5098039215686274,0.47950607807540274,0.5062487532093931
precision,0.3333333333333333,0.4,0.43478260869565216,0.5833333333333334,0.38461538461538464,0.6595744680851063,0.5625,0.5098039215686274,0.47973416115182993,0.5367625373876395
recall,0.4444444444444444,0.5454545454545454,0.625,0.4666666666666667,0.625,0.62,0.2727272727272727,0.5098039215686274,0.5141847041847042,0.5098039215686274
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.5098039215686274,153.0,153.0
