,0,1,2,3,4,accuracy,macro avg,weighted avg
f1-score,0.6122448979591837,0.3492063492063492,0.3544303797468354,0.5625,0.9533678756476685,0.6696428571428571,0.5663499005120073,0.66937074662951
precision,0.4838709677419355,0.5789473684210527,0.2978723404255319,0.5294117647058824,0.989247311827957,0.6696428571428571,0.5758699506244719,0.7076891100333498
recall,0.8333333333333334,0.25,0.4375,0.6,0.92,0.6696428571428571,0.6081666666666667,0.6696428571428571
support,18.0,44.0,32.0,30.0,100.0,0.6696428571428571,224.0,224.0
