,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
f1-score,0.5,0.5,0.4375,0.5806451612903225,0.6153846153846154,0.923076923076923,0.9090909090909091,0.738562091503268,0.6379568012632528,0.7338993496488753
precision,0.5714285714285714,0.5,0.4375,0.5625,0.8,0.8888888888888888,0.9090909090909091,0.738562091503268,0.6670583384869098,0.7348026247536051
recall,0.4444444444444444,0.5,0.4375,0.6,0.5,0.96,0.9090909090909091,0.738562091503268,0.6215764790764791,0.738562091503268
support,9.0,22.0,16.0,15.0,8.0,50.0,33.0,0.738562091503268,153.0,153.0
