,0,1,2,3,4,accuracy,macro avg,weighted avg
f1-score,0.0625,0.5360824742268041,0.41025641025641024,0.30769230769230765,0.9312169312169312,0.6205357142857143,0.44954962467849063,0.6258629301189591
precision,0.07142857142857142,0.49056603773584906,0.34782608695652173,0.36363636363636365,0.9887640449438202,0.6205357142857143,0.45244422094022524,0.6419042416614877
recall,0.05555555555555555,0.5909090909090909,0.5,0.26666666666666666,0.88,0.6205357142857143,0.4586262626262626,0.6205357142857143
support,18.0,44.0,32.0,30.0,100.0,0.6205357142857143,224.0,224.0
